id,Auteur
1,Armand Lunel
2,Bernard Nabonne
3,André Obey
4,Marcel Aymé
5,Germaine Beaumont
6,Philippe Hériat
7,Louis-Ferdinand Céline
8,Charles Brabant
9,Louis Francis
10,François de Roux
11,Louis Aragon
12,Jean Rogissart
13,Pierre-Jean Launay
14,Jean Malaquais
15, David Rousset
16, Jules Roy
17,Paul Mousset
18,Robert Gaillard
19,André Soubiran
20,Roger Peyrefitte
21,Henri Bosco
22,Jean Cayrol
23,Pierre Frisson
24,Louis Guilloux
25,Pierre Molaine
26,Robert Margerit
27,Jacques Perry
28,Célia Bertin
29,Jean Reverzy
30,Georges Govy
31,André Perrin
32,Michel Butor
33,Edouard Glissant
34,Albert Palle
35,Alfred Kern
36,Roger Bordier
37,Simone Jacquemard
38,Jean-Marie Gustave Le Clézio
39,Jean-Pierre Faye
40,Georges Perec
41,José Cabanis
42,Salvat Etchart
43,Yambo Ouologuem
44,Max Olivier-Lacamp
45,Jean Freustié
46,Pierre-Jean Rémy
47,Christopher Frank
48,Suzanne Prou
49,Georges Borgeaud
50,Jean Joubert
51,Michel Henry
52,Alphonse Boudard
53,Conrad Detrez
54,Jean-Marc Roberts
55,Danièle Sallenave
56,Michel Del Castillo
57,Georges-Olivier Châteaureynaud
58,Jean-Marie Rouart
59,Annie Emaux
60,Raphaëlle Billetdoux
61,Christian Giudicelli
62,René-Jean Clot
63,René Depestre
64,Philippe Doumenc
65,Jean Colombier
66,Dan Franck
67,François Weyergans
68,Nicolas Bréhal
69,Guillaume Le Touze
70,Patrick Besson
71,Boris Schreiber
72,Pascal Bruckner
73,Dominique Bona
74,Daniel Picouly
75,Ahmadou Kourouma
76,Martine Le Coz
77,Gérard de Cortanze
78,Philippe Claudel
79,Irène Némirovsky
80,Nina Bouraoui
81,Alain Mabanckou
82,Daniel Pennac
83,Tierno Monénembo
84,Frédéric Beigbeder
85,Apocalypse Bébé
86,Emmanuel Carrère
87,Scholastique Mukasonga
88,Yann Moix
89,Myriam Harry
90,Romain Rolland
91,André Corthis
92,Colette Yver
93,Edouard Estaunié
94,Edmond Jaloux
95,Marguerite Audoux
96,Louis de Robert
97,Jacques Morel
98,Camille Marbo
99,René Milan
100,Henri Bachelin
101,Roland Dorgelès
102,Edmond Gojon
103,Raymond Escholier
104,Jacques de Lacretelle
105,Jeanne Galzy
106,Charles Derennes
107,Joseph Delteil
108,Charles Silvestre
109,Marie Le Franc
110,Dominique Dunois
111,Georges Bernanos
112,Marc Chadourne
113,Antoine de Saint-Exupéry
114,Ramon Fernandez
115,Geneviève Fauconnier
116,Robert Francis
117,Claude Silve
118,Louise Hervieu
119,Raymonde Vincent
120,Félix de Chazournes
121,Paul Vialar
122,Anne-Marie Monnet
123,Michel Robida
124,Gabrielle Roy
125,Emmanuel Roblès
126,Maria Le Hardouin
127,Serge Groussard
128,Anne de Tourville
129,Dominique Rolin
130,Zoé Oldenbourg
131,Gabriel Veraldi
132,André Dhôtel
133,François-Régis Bastide
134,Christian Mégret
135,Françoise Mallet-Joris
136,Bernard Privat
137,Louise Bellocq
138,Henri Thomas
139,Yves Berger
140,Roger Vrigny
141,Jean Blanzat
142,Robert Pinget
143,Irène Monesi
144,Claire Etcherelli
145,Marguerite Yourcenar
146,Jorge Semprun
147,François Nourissier
148,Angelo Rinaldi
149,Roger Grenier
150,Michel Dard
151,René-Victor Pilhes
152,Claude Faraggi
153,Marie-Louise Haumont
154,Régis Debray
155,François Sonkin
156,Pierre Moinot
157,Jocelyne François
158,Catherine Hermary-Vieille
159,Anne Hébert
160,Florence Delay
161,Bertrand Visage
162,Hector Bianciotti
163,René Belletto
164,Alain Absire
165,Alexandre Jardin
166,Sylvie Germain
167,Pierrette Fleutiaux
168,Paula Jacques
169,Anne-Marie Garat
170,Marc Lambron
171,Olivier Rolin
172,Geneviève Brisac
173,Dominique Noguez
174,François Cheng
175,Maryline Desbiolles
176,Camille Laurens
177,Marie Ndiaye
178,Chantal Thomas
179,Dai Sijie
180,Jean-Paul Dubois
181,Régis Jauffret
182,Nancy Huston
183,Eric Fottorino
184,Jean-Louis Fournier
185,Gwenaëlle Aubry
186,Patrick Lapeyre
187,Simon Liberati
188,Patrick Deville
