id,Année,id_roman,Nombre d'emprunts
1,2017,651,141
2,2017,652,160
3,2017,653,192
4,2018,654,287
5,2018,655,205
6,2018,656,232
7,2018,657,189
8,2018,658,193
9,2018,659,164
10,2013,660,64
11,2013,661,36
12,2015,662,189
13,2015,663,181
14,2015,664,154
15,2012,665,208
16,2012,666,207
17,2012,667,199
18,2012,668,196
19,2012,669,185
20,2012,670,176
21,2012,671,176
22,2012,672,174
23,2012,673,172
24,2012,84,158
25,2012,674,141
26,2012,675,133
27,2016,676,283
28,2016,663,230
29,2016,677,164
30,2011,678,269
31,2011,679,262
32,2011,551,243
33,2011,680,199
34,2011,681,180
35,2011,682,173
36,2011,683,170
37,2011,684,154
38,2011,685,149
39,2011,686,146
40,2011,687,130
41,2011,688,120
42,2011,689,116
43,2014,690,300
44,2014,289,239
45,2014,680,218
46,2014,691,172
47,2014,692,171
48,2014,693,148
49,2014,694,148
50,2014,695,139
51,2014,696,139
52,2014,697,137
53,2014,698,134
54,2015,699,210
55,2015,700,194
56,2011,701,203
57,2011,702,189
58,2011,84,183
59,2011,703,180
60,2011,704,163
61,2011,705,158
62,2011,706,153
63,2011,707,142
64,2011,708,140
65,2011,709,136
66,2011,710,133
67,2011,711,125
68,2011,712,125
69,2011,713,119
70,2011,714,117
71,2012,715,220
72,2012,691,201
73,2012,716,196
74,2012,717,156
75,2012,718,146
76,2012,719,142
77,2012,720,141
78,2012,721,136
79,2012,722,131
80,2016,723,306
81,2016,724,242
82,2016,652,231
83,2016,725,219
84,2016,726,218
85,2016,727,189
86,2014,728,239
87,2014,729,202
88,2014,730,191
89,2014,731,143
90,2018,732,216
91,2018,733,169
92,2018,734,147
93,2018,735,159
94,2017,736,262
95,2017,737,236
96,2017,738,190
97,2017,739,161
98,2017,699,161
99,2017,740,143
100,2014,741,147
101,2014,742,143
102,2014,743,142
103,2011,552,310
104,2011,744,198
105,2011,745,179
106,2011,746,176
107,2011,747,166
108,2011,748,163
109,2011,749,160
110,2011,750,159
111,2011,751,156
112,2011,752,146
113,2011,753,131
114,2011,754,128
115,2011,755,128
116,2011,756,120
117,2011,757,120
118,2012,694,265
119,2012,758,207
120,2012,759,200
121,2012,760,196
122,2012,761,167
123,2012,762,148
124,2012,763,135
125,2012,764,131
126,2012,188,130
127,2015,765,339
128,2015,766,206
129,2015,767,189
130,2015,768,166
131,2015,769,152
132,2016,770,272
133,2016,771,242
134,2016,772,167
135,2013,773,43
136,2013,774,37
137,2018,775,149
138,2018,776,169
139,2018,777,162
140,2018,778,166
141,2018,779,334
142,2017,780,180
143,2017,781,202
144,2013,782,34
145,2013,745,86
146,2013,783,60
147,2013,784,54
148,2012,785,295
149,2012,679,211
150,2012,786,203
151,2012,787,197
152,2012,788,195
153,2012,789,195
154,2012,790,194
155,2012,791,189
156,2012,792,188
