id,Roman,id_auteur
1,Nicolo Peccavi,1
2,Maïtena,2
3,Le Joueur de triangle,3
4,La Table aux crevés,4
5,Piège,5
6,L'innocent,6
7,Voyage au bout de la nuit,7
8,Le roi dort,8
9,Blanc,9
10,Jours sans gloire,10
11,Les Beaux Quartiers,11
12,Mervale,12
13,Léonie la bienheureuse,13
14,Les Javanais,14
15,L'Univers concentrationnaire,15
16,La Vallée heureuse,16
17,Quand le temps travaillait pour nous,17
18,Les Liens de chaîne,18
19,J'étais médecin avec les chars,19
20,Les Amitiés particulières,20
21,Le Mas Théotime,21
22,Je vivrai l'amour des autres,22
23,Voyage aux horizons,23
24,Le Jeu de patience,24
25,Les Orgues de l'enfer,25
26,Le Dieu nu,26
27,L'Amour de rien,27
28,La Dernière Innocence,28
29,Le Passage,29
30,Le Moissonneur d'épines,30
31,Le Père,31
32,La Modification,32
33,La Lézarde,33
34,L'Expérience,34
35,Le Bonheur fragile,35
36,Les Blés,36
37,Le Veilleur de nuit,37
38,Le Procès-verbal,38
39,L'Écluse,39
40,Les Choses,40
41,La Bataille de Toulouse,41
42,Le Monde tel qu'il est,42
43,Le Devoir de violence,43
44,Les Feux de la colère,44
45,Isabelle ou l'Arrière-Saison,45
46,Le Sac du palais d'été,46
47,La Nuit américaine,47
48,La Terrasse des Bernardini,48
49,Voyage à l'étranger,49
50,L'Homme de sable,50
51,L'Amour les yeux fermés,51
52,Les Combattants du petit bonheur,52
53,L'Herbe à bruler,53
54,Affaires étrangères,54
55,Les Portes de Gubbio,55
56,La Nuit du décret,56
57,La Faculté des songes,57
58,Avant-Guerre,58
59,La Place,59
60,Mes nuits sont plus belles que vos jours,60
61,Station balnéaire,61
62,L'Enfant halluciné,62
63,Hadriana dans tous mes rêves,63
64,Les Comptoirs du Sud,64
65,Les Frères Romance,65
66,La Séparation,66
67,La démence du boxeur,67
68,Les Corps célestes,68
69,Comme ton père,69
70,Les Braban,70
71,Un silence d'environ une demi-heure,71
72,Les Voleurs de beauté,72
73,Le Manuscrit de Port-Ebène,73
74,L'Enfant léopard,74
75,Allah n'est pas obligé,75
76,Céleste,76
77,Assam,77
78,Les âmes grises,78
79,Suite française,79
80,Mes mauvaises pensées,80
81,Mémoires de porc-épic,81
82,Chagrin d'école,82
83,Le roi de Kahel,83
84,Un roman français,84
85,Virginie Despentes,85
86,Limonov,86
87,Notre-Dame du Nil,87
88,Naissance,88
89,La Conquête de Jérusalem,89
90,Jean-Christophe,90
91,Gemmes et moires,91
92,Princesses de science,92
93,La Vie secrète,93
94,Le reste est silence,94
95,Marie-Claire,95
96,Le Roman du malade,96
97,Feuilles mortes,97
98,La Statue voilée,98
99,L'Odyssée d'un transport torpillé,99
100,Le Serviteur,100
101,Les Croix de bois,101
102,Le Jardin des dieux,102
103,Cantegril,103
104,Silbermann,104
105,Les Allongés,105
106,Le Bestiaire sentimental,106
107,Jeanne d'Arc,107
108,Prodige du coeur,108
109,Grand-Louis l'innocent,109
110,Georgette Garou,110
111,La Joie,111
